sample_id,subset,n_modalities,mask_text,mask_audio,mask_vision,p_negative,p_neutral,p_positive,prob_sum,intensity,fixed_cstar,prob_cstar
03,audio+vision,2,0,1,1,0.431578,0.368061,0.200361,1.0,-0.071034,0,0.431578
03,text+audio+vision,3,1,1,1,0.480122,0.420533,0.099345,1.0,-0.42371,0,0.480122
04,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
04,text,1,1,0,0,0.952431,0.018531,0.029039,1.0,-1.720653,0,0.952431
04,audio,1,0,1,0,0.187848,0.329236,0.482916,1.0,0.560022,0,0.187848
04,vision,1,0,0,1,0.173886,0.229762,0.596352,1.0,0.547812,0,0.173886
04,text+audio,2,1,1,0,0.938278,0.022712,0.039009,1.0,-1.538047,0,0.938278
04,text+vision,2,1,0,1,0.937949,0.021819,0.040232,1.0,-1.567547,0,0.937949
04,audio+vision,2,0,1,1,0.150531,0.252272,0.597197,1.0,0.67921,0,0.150531
04,text+audio+vision,3,1,1,1,0.87085,0.040027,0.089123,1.0,-1.118354,0,0.87085
05,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
05,text,1,1,0,0,0.027947,0.476821,0.495231,1.0,0.559668,2,0.495231
05,audio,1,0,1,0,0.21731,0.539156,0.243534,1.0,-0.091794,2,0.243534
05,vision,1,0,0,1,0.157913,0.240351,0.601737,1.0,0.586579,2,0.601737
05,text+audio,2,1,1,0,0.036284,0.526409,0.437307,1.0,0.453441,2,0.437307
05,text+vision,2,1,0,1,0.031081,0.377625,0.591294,1.0,0.731324,2,0.591294
05,audio+vision,2,0,1,1,0.159018,0.305804,0.535178,1.0,0.488831,2,0.535178
05,text+audio+vision,3,1,1,1,0.034337,0.422505,0.543159,1.0,0.650075,2,0.543159
06,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
06,text,1,1,0,0,0.025017,0.078198,0.896786,1.0,0.881051,2,0.896786
06,audio,1,0,1,0,0.229855,0.42477,0.345375,1.0,0.406687,2,0.345375
06,vision,1,0,0,1,0.564292,0.366569,0.069139,1.0,-0.575969,2,0.069139
06,text+audio,2,1,1,0,0.035448,0.11329,0.851262,1.0,0.863861,2,0.851262
06,text+vision,2,1,0,1,0.070608,0.171566,0.757826,1.0,0.555171,2,0.757826
06,audio+vision,2,0,1,1,0.398628,0.463413,0.137958,1.0,-0.109245,2,0.137958
06,text+audio+vision,3,1,1,1,0.064813,0.173902,0.761285,1.0,0.643586,2,0.761285
07,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
07,text,1,1,0,0,0.003786,0.076037,0.920177,1.0,1.480082,2,0.920177
07,audio,1,0,1,0,0.431553,0.212257,0.35619,1.0,0.007605,2,0.35619
07,vision,1,0,0,1,0.374298,0.240024,0.385678,1.0,0.352976,2,0.385678
07,text+audio,2,1,1,0,0.005364,0.080228,0.914408,1.0,1.393649,2,0.914408
07,text+vision,2,1,0,1,0.005109,0.077988,0.916903,1.0,1.500744,2,0.916903
07,audio+vision,2,0,1,1,0.428413,0.205258,0.366329,1.0,0.12723,2,0.366329
07,text+audio+vision,3,1,1,1,0.004674,0.076663,0.918663,1.0,1.460745,2,0.918663
08,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
08,text,1,1,0,0,0.004597,0.11231,0.883093,1.0,1.252983,2,0.883093
08,audio,1,0,1,0,0.442498,0.335178,0.222324,1.0,-0.226395,2,0.222324
08,vision,1,0,0,1,0.507579,0.36917,0.123251,1.0,-0.475475,2,0.123251
08,text+audio,2,1,1,0,0.008247,0.145904,0.845848,1.0,1.08435,2,0.845848
08,text+vision,2,1,0,1,0.02743,0.280158,0.692412,1.0,0.682631,2,0.692412
08,audio+vision,2,0,1,1,0.485413,0.353307,0.16128,1.0,-0.369192,2,0.16128
08,text+audio+vision,3,1,1,1,0.024855,0.250769,0.724376,1.0,0.734697,2,0.724376
09,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
09,text,1,1,0,0,0.981628,0.010242,0.008129,1.0,-2.337986,0,0.981628
09,audio,1,0,1,0,0.261978,0.339023,0.398999,1.0,0.367516,0,0.261978
09,vision,1,0,0,1,0.594781,0.285555,0.119665,1.0,-0.2052,0,0.594781
09,text+audio,2,1,1,0,0.980482,0.010875,0.008643,1.0,-2.263937,0,0.980482
09,text+vision,2,1,0,1,0.982594,0.010405,0.007001,1.0,-2.313588,0,0.982594
09,audio+vision,2,0,1,1,0.502625,0.327645,0.16973,1.0,0.006146,0,0.502625
09,text+audio+vision,3,1,1,1,0.979873,0.01249,0.007638,1.0,-2.167921,0,0.979873
10,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
10,text,1,1,0,0,0.971062,0.019567,0.009371,1.0,-2.282411,0,0.971062
10,audio,1,0,1,0,0.245884,0.329436,0.42468,1.0,0.555238,0,0.245884
10,vision,1,0,0,1,0.340321,0.302802,0.356878,1.0,0.282295,0,0.340321
10,text+audio,2,1,1,0,0.967891,0.021519,0.010589,1.0,-2.135343,0,0.967891
10,text+vision,2,1,0,1,0.972649,0.018556,0.008795,1.0,-2.284977,0,0.972649
10,audio+vision,2,0,1,1,0.316966,0.30956,0.373473,1.0,0.383898,0,0.316966
10,text+audio+vision,3,1,1,1,0.972848,0.018418,0.008734,1.0,-2.251654,0,0.972848
11,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
11,text,1,1,0,0,0.9068,0.016346,0.076854,1.0,-1.091386,0,0.9068
11,audio,1,0,1,0,0.642255,0.192249,0.165496,1.0,-0.227653,0,0.642255
11,vision,1,0,0,1,0.380679,0.234435,0.384886,1.0,0.292094,0,0.380679
11,text+audio,2,1,1,0,0.914843,0.016262,0.068895,1.0,-1.086057,0,0.914843
11,text+vision,2,1,0,1,0.906731,0.015937,0.077331,1.0,-1.061072,0,0.906731
11,audio+vision,2,0,1,1,0.513438,0.205547,0.281015,1.0,0.140162,0,0.513438
11,text+audio+vision,3,1,1,1,0.908254,0.016088,0.075658,1.0,-1.084646,0,0.908254
12,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
12,text,1,1,0,0,0.897772,0.07089,0.031338,1.0,-1.261457,0,0.897772
12,audio,1,0,1,0,0.500924,0.198113,0.300963,1.0,-0.416907,0,0.500924
12,vision,1,0,0,1,0.446999,0.359698,0.193303,1.0,-0.177093,0,0.446999
12,text+audio,2,1,1,0,0.895406,0.070651,0.033942,1.0,-1.263672,0,0.895406
12,text+vision,2,1,0,1,0.884019,0.081779,0.034203,1.0,-1.20179,0,0.884019
12,audio+vision,2,0,1,1,0.516485,0.22676,0.256755,1.0,-0.408161,0,0.516485
12,text+audio+vision,3,1,1,1,0.892908,0.073325,0.033767,1.0,-1.24917,0,0.892908
13,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,1,0.304297
13,text,1,1,0,0,0.059469,0.647685,0.292846,1.0,0.224051,1,0.647685
13,audio,1,0,1,0,0.613317,0.204908,0.181775,1.0,-0.264011,1,0.204908
13,vision,1,0,0,1,0.344394,0.304297,0.351309,1.0,0.023916,1,0.304297
13,text+audio,2,1,1,0,0.078734,0.636438,0.284828,1.0,0.159476,1,0.636438
13,text+vision,2,1,0,1,0.059469,0.647685,0.292846,1.0,0.224051,1,0.647685
13,audio+vision,2,0,1,1,0.613317,0.204908,0.181775,1.0,-0.264011,1,0.204908
13,text+audio+vision,3,1,1,1,0.078734,0.636438,0.284828,1.0,0.159476,1,0.636438
14,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,1,0.304297
14,text,1,1,0,0,0.06127,0.657898,0.280832,1.0,0.27766,1,0.657898
14,audio,1,0,1,0,0.097913,0.350912,0.551176,1.0,0.559142,1,0.350912
14,vision,1,0,0,1,0.139317,0.161615,0.699068,1.0,0.882932,1,0.161615
14,text+audio,2,1,1,0,0.061032,0.60379,0.335178,1.0,0.373782,1,0.60379
14,text+vision,2,1,0,1,0.059853,0.54866,0.391486,1.0,0.523763,1,0.54866
14,audio+vision,2,0,1,1,0.108531,0.172509,0.71896,1.0,0.939606,1,0.172509
14,text+audio+vision,3,1,1,1,0.058924,0.55602,0.385056,1.0,0.50836,1,0.55602
15,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
15,text,1,1,0,0,0.008995,0.055221,0.935784,1.0,1.33732,2,0.935784
15,audio,1,0,1,0,0.201693,0.346624,0.451683,1.0,0.393523,2,0.451683
15,vision,1,0,0,1,0.118146,0.451951,0.429903,1.0,0.562503,2,0.429903
15,text+audio,2,1,1,0,0.011515,0.071552,0.916933,1.0,1.315484,2,0.916933
15,text+vision,2,1,0,1,0.016488,0.117904,0.865609,1.0,1.226672,2,0.865609
15,audio+vision,2,0,1,1,0.113613,0.448129,0.438259,1.0,0.592791,2,0.438259
15,text+audio+vision,3,1,1,1,0.023878,0.165035,0.811087,1.0,1.13944,2,0.811087
16,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,0,0.344394
16,text,1,1,0,0,0.981261,0.010215,0.008524,1.0,-2.471827,0,0.981261
16,audio,1,0,1,0,0.282784,0.523,0.194216,1.0,-0.26933,0,0.282784
16,vision,1,0,0,1,0.47734,0.389341,0.133319,1.0,-0.261106,0,0.47734
16,text+audio,2,1,1,0,0.980861,0.011263,0.007875,1.0,-2.526402,0,0.980861
16,text+vision,2,1,0,1,0.981844,0.010595,0.007561,1.0,-2.483183,0,0.981844
16,audio+vision,2,0,1,1,0.423847,0.445766,0.130387,1.0,-0.306921,0,0.423847
16,text+audio+vision,3,1,1,1,0.981733,0.01056,0.007707,1.0,-2.502929,0,0.981733
17,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
17,text,1,1,0,0,0.003448,0.02708,0.969472,1.0,1.777523,2,0.969472
17,audio,1,0,1,0,0.317237,0.370578,0.312185,1.0,-0.042523,2,0.312185
17,vision,1,0,0,1,0.245314,0.349941,0.404745,1.0,0.19582,2,0.404745
17,text+audio,2,1,1,0,0.004255,0.032671,0.963075,1.0,1.698225,2,0.963075
17,text+vision,2,1,0,1,0.004891,0.037048,0.958061,1.0,1.672536,2,0.958061
17,audio+vision,2,0,1,1,0.248364,0.388991,0.362645,1.0,0.115531,2,0.362645
17,text+audio+vision,3,1,1,1,0.003876,0.031213,0.964912,1.0,1.739213,2,0.964912
18,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,1,0.304297
18,text,1,1,0,0,0.400098,0.504098,0.095804,1.0,-0.496059,1,0.504098
18,audio,1,0,1,0,0.322605,0.258567,0.418828,1.0,0.200006,1,0.258567
18,vision,1,0,0,1,0.513185,0.3938,0.093015,1.0,-0.581151,1,0.3938
18,text+audio,2,1,1,0,0.402848,0.488946,0.108206,1.0,-0.433317,1,0.488946
18,text+vision,2,1,0,1,0.436192,0.491976,0.071832,1.0,-0.625048,1,0.491976
18,audio+vision,2,0,1,1,0.508749,0.386759,0.104492,1.0,-0.522064,1,0.386759
18,text+audio+vision,3,1,1,1,0.438834,0.486564,0.074602,1.0,-0.606012,1,0.486564
19,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
19,text,1,1,0,0,0.195657,0.051552,0.752791,1.0,0.589756,2,0.752791
19,audio,1,0,1,0,0.225064,0.366631,0.408305,1.0,0.222041,2,0.408305
19,vision,1,0,0,1,0.353583,0.137545,0.508872,1.0,0.179255,2,0.508872
19,text+audio,2,1,1,0,0.188876,0.05691,0.754214,1.0,0.598604,2,0.754214
19,text+vision,2,1,0,1,0.194083,0.04223,0.763687,1.0,0.602236,2,0.763687
19,audio+vision,2,0,1,1,0.276135,0.194464,0.529401,1.0,0.268956,2,0.529401
19,text+audio+vision,3,1,1,1,0.186272,0.048603,0.765125,1.0,0.611566,2,0.765125
20,empty,0,0,0,0,0.344394,0.304297,0.351309,1.0,0.023916,2,0.351309
20,text,1,1,0,0,0.004941,0.129605,0.865454,1.0,1.04128,2,0.865454
20,audio,1,0,1,0,0.299,0.304502,0.396498,1.0,0.327611,2,0.396498
20,vision,1,0,0,1,0.280873,0.180446,0.538681,1.0,0.512211,2,0.538681
20,text+audio,2,1,1,0,0.006957,0.142678,0.850365,1.0,1.04384,2,0.850365
20,text+vision,2,1,0,1,0.011286,0.123826,0.864888,1.0,1.03958,2,0.864888
20,audio+vision,2,0,1,1,0.276928,0.185363,0.53771,1.0,0.539111,2,0.53771
20,text+audio+vision,3,1,1,1,0.015844,0.130386,0.85377,1.0,1.017957,2,0.85377
